"Beelitz, Birkhorst"	9220956
"Beelitz, Brücker Weg (Fichtenwalde)"	9220965
"Beelitz, Busendorf"	9220960
"Beelitz, Carl-von-Ossietzky-Straße"	9220975
"Beelitz, Eiche (Fichtenwalde)"	9220969
"Beelitz, Feuerwehr (Beelitz-Heilstätten)"	9220981
"Beelitz, Finkenstraße"	9220976
"Beelitz, Fischerstraße/B2"	9220943
"Beelitz, Friedrichshof"	9220814
"Beelitz, Gymnasium"	9220935
"Beelitz, Heilstätten"	9220931
"Beelitz, Husarenallee"	9220930
"Beelitz, Jahnstraße"	9220926
"Beelitz, Kemmeter Weg"	9220936
"Beelitz, Liebknechtpark"	9220928
"Beelitz, Mittelstraße (Fichtenwalde)"	9220966
"Beelitz, Ort (Elsholz)"	9220942
"Beelitz, Platanenring"	9220977
"Beelitz, Rathaus"	9220933
"Beelitz, Reha-Kliniken"	9220937
"Beelitz, Schmerberger Straße (Fichtenwalde)"	9220968
"Beelitz, Schule (Fichtenwalde)"	9220967
"Beelitz, Straße nach Salzbrunn (Elsholz)"	9210332
"Beelitz, Treuenbrietzener Straße"	9220978
"Beelitz, Virchowstraße"	9220934
"Beelitz, Wasserwerk (Elsholz)"	9220941
"Beelitz, Wilmersdorfer Straße (Fichtenwalde)"	9220964
"Beelitz, Zeppelinstraße"	9220929
"Beelitz, Zum Bahnhof"	9220994
"Beelitz, Zur Feldscheune"	9220932
"Beeskow, Bahnhof"	9311129
"Beeskow, Bahnhof Oegeln"	9310615
"Beeskow, Bahnhof Schneeberg"	9310616
"Beetzsee, Dorf (Brielow)"	9220280
"Beetzsee, Mühlenweg"	9220281
"Beiersdorf-Freudenberg, Baumschule (Beiersdorf)"	9321050
"Beiersdorf-Freudenberg, Dorf (Beiersdorf)"	9321051
"Beiersdorf-Freudenberg, Freudenberg"	9321077
"Beilrode, Bahnhof"	9550267
"Bensdorf, Altbensdorf"	9220271
"Bergen auf Rügen, Bahnhof"	9550043
"Berkenbrück/Spree, Bahnhof"	9310005
"Berlin, Aalemannufer"	9027205
"Berlin, Abgeordnetenhaus"	9012105
"Berlin, Abtstraße"	9193510
"Berlin, Achardstraße"	9175549
"Berlin, Adalbertstraße"	9100546
"Berlin, Adalbertstraße/Oranienstraße"	9014103
"Berlin, Adersleber Weg"	9170515
"Berlin, Adlergestell/Glienicker Weg"	9193501
"Berlin, Adlergestell/Vetschauer Allee"	9185503
"Berlin, Adolf-Scheidt-Platz"	9068158
"Berlin, Adolfstraße"	9175555
"Berlin, Agathe-Lasch-Platz [Bus]"	9040104
"Berlin, Ahlener Weg"	9064258
"Berlin, Ahornallee"	9182503
"Berlin, Ahrensdorfer Straße"	9073253
"Berlin, Ahrensfelde/Stadtgrenze"	9170006
"Berlin, Ahrenshooper Straße"	9151501
"Berlin, Akeleiweg"	9194502
"Berlin, Albert-Einstein-Straße"	9194525
"Berlin, Albertinenstraße"	9140005
"Berlin, Albertstraße"	9054151
"Berlin, Alboinplatz"	9058107
"Berlin, Alboinstraße/Arnulfstraße"	9058151
"Berlin, Albrechtstraße/Manteuffelstraße"	9068204
"Berlin, Alemannenstraße"	9195009
"Berlin, Alemannenstraße/Maximiliankorso"	9092205
"Berlin, Alexanderstraße"	9100518
"Berlin, Alexandrinenstraße"	9012156
"Berlin, Alfons-Loewe-Straße"	9037131
"Berlin, Alfred-Scholz-Platz"	9078151
"Berlin, Allee der Kosmonauten/Poelchaustraße"	9170019
"Berlin, Allee der Kosmonauten/Rhinstraße [Allee der Kosmonauten]"	9171708
"Berlin, Allee der Kosmonauten/Rhinstraße [Rhinstraße]"	9171008
"Berlin, Alliiertenmuseum"	9051255
"Berlin, Almutstraße"	9093202
"Berlin, Alsterweg"	9065151
"Berlin, Alt-Biesdorf"	9171532
"Berlin, Alt-Blankenburg"	9142502
"Berlin, Alt-Buch"	9135511
"Berlin, Alt-Buch/Karower Straße"	9135512
"Berlin, Alt-Buch/Wiltbergstraße"	9135506
"Berlin, Alt-Buckow"	9081201
"Berlin, Alte Allee"	9025451
"Berlin, Alte Försterei"	9181513
"Berlin, Alte Hellersdorfer Stra0e/Zossener Straße"	9175512
"Berlin, Altenburger Allee"	9026171
"Berlin, Altenhofer Straße"	9150509
"Berlin, Altensteinstraße/Fabeckstraße"	9051313
"Berlin, Altentreptower Straße"	9171512
"Berlin, Alter Schönefelder Weg"	9195520
"Berlin, Altes Wasserwerk"	9182005
"Berlin, Altes Wasserwerk [Ausstieg]"	9182705
"Berlin, Alt-Friedrichsfelde 60"	9161519
"Berlin, Alt-Friedrichsfelde/Gensinger Straße"	9161005
"Berlin, Alt-Friedrichsfelde/Rhinstraße"	9161004
"Berlin, Alt-Gatow"	9038104
"Berlin, Altglienicke Kirche"	9195006
"Berlin, Altglienicker Brücke"	9195508
"Berlin, Alt-Heiligensee"	9091101
"Berlin, Altkanzlerstraße"	9050206
"Berlin, Alt-Karow"	9143509
"Berlin, Alt-Karow/Bahnhofstraße"	9143501
"Berlin, Alt-Karow/Straße 74"	9143500
"Berlin, Alt-Kaulsdorf/Chemnitzer Straße"	9175548
"Berlin, Alt-Kladow"	9039102
"Berlin, Alt-Lübars"	9095101
"Berlin, Alt-Mahlsdorf"	9176524
"Berlin, Altmarkstraße"	9060152
"Berlin, Alt-Marzahn"	9170516
"Berlin, Alt-Moabit/Gotzkowskystraße"	9003107
"Berlin, Alt-Moabit/Rathaus Tiergarten"	9003157
"Berlin, Alt-Moabit/Rathenower Straße"	9003203
"Berlin, Alt-Müggelheim"	9184002
"Berlin, Alt-Pichelsdorf"	9032402
"Berlin, Alt-Rudow/Köpenicker Straße"	9083251
"Berlin, Alt-Schmöckwitz [Abfahrt]"	9185001
"Berlin, Alt-Schmöckwitz [Ankunft]"	9185702
"Berlin, Alt-Schmöckwitz [Endstelle]"	9185701
"Berlin, Alt-Schönow"	9049374
"Berlin, Alt-Staaken Kirche"	9037159
"Berlin, Alt-Stralau"	9120501
"Berlin, Alt-Treptow"	9190501
"Berlin, Alt-Wittenau/Roedernallee"	9096404
"Berlin, Amalienstraße"	9064306
"Berlin, Am alten Gaswerk"	9037113
"Berlin, Amandastraße"	9093207
"Berlin, Am Baltenring"	9175531
"Berlin, Am Berg"	9180529
"Berlin, Am Birkenhügel"	9053271
"Berlin, Am Birkenknick"	9049303
"Berlin, Am Bogen"	9027363
"Berlin, Am Brandpfuhl"	9080352
"Berlin, Am Dachsbau"	9091102
"Berlin, Am Dianaplatz"	9094191
"Berlin, Amendestraße"	9085250
"Berlin, Am Fischtal"	9050258
"Berlin, Amfortasweg"	9063253
"Berlin, Am Friedrichshain"	9110019
"Berlin, Am Friedrichshain/Hufelandstraße"	9110522
"Berlin, Am Gehrensee"	9153500
"Berlin, Am Gemeindepark"	9067401
"Berlin, Am Graben"	9038252
"Berlin, Am Großen Rohrpfuhl"	9082261
"Berlin, Am Großen Wannsee"	9053254
"Berlin, Am Hegewinkel"	9051257
"Berlin, Am Heidefriedhof"	9070353
"Berlin, Am Hellespont"	9070156
"Berlin, Am Hügel"	9096152
"Berlin, Am Iderfenngraben"	9131529
"Berlin, Am Kesselpfuhl"	9096105
"Berlin, Am Kiesberg"	9195012
"Berlin, Am Kiesteich"	9027301
"Berlin, Am Kleinen Wannsee"	9053202
"Berlin, Am Kornfeld"	9176522
"Berlin, Am Kupfergraben"	9100038
"Berlin, Am Kurzen Weg"	9037171
"Berlin, Am Luchgraben"	9144502
"Berlin, Am Nordgraben/Oranienburger Straße"	9096406
"Berlin, Am Nordhafen"	9001202
"Berlin, Am Oberhafen"	9077152
"Berlin, Am Omnibushof"	9032101
"Berlin, Amorbacher Weg"	9027253
"Berlin, Am Pilz"	9092102
"Berlin, Am Postfenn"	9025154
"Berlin, Am Rehwechsel"	9049356
"Berlin, Am Rohrgarten"	9052351
"Berlin, Am Rollberg"	9132524
"Berlin, Am Rosenhag"	9176006
"Berlin, Am Rötepfuhl"	9074153
"Berlin, Am Sandwerder"	9052152
"Berlin, Am Seegraben"	9196512
"Berlin, Am Steinberg"	9141506
"Berlin, Am Stener Berg"	9135507
"Berlin, Am Studio/Köpenicker Straße"	9194001
"Berlin, Am Tegeler Fließ"	9089454
"Berlin, Am Tierpark/Alfred-Kowalke-Straße"	9161517
"Berlin, Amtsgerichtsplatz"	9024104
"Berlin, Am Vierrutenberg"	9095102
"Berlin, Am Volkspark"	9044102
"Berlin, Am Wäldchen"	9133504
"Berlin, Am Waldfriedhof"	9051203
"Berlin, Am Wasserturm"	9141504
"Berlin, Am Zeppelinpark"	9037161
"Berlin, An den Achterhöfen"	9081257
"Berlin, An den Siedlergärten"	9176517
"Berlin, An der Buche"	9092254
"Berlin, An der Mühle"	9089391
"Berlin, An der Rehwiese"	9052203
"Berlin, An der Schneise"	9091158
"Berlin, An der Urania"	9056105
"Berlin, An der Wuhle"	9175506
"Berlin, Andreasstraße/Lange Straße"	9120023
"Berlin, Anemonenstraße"	9180528
"Berlin, Angerweg"	9132501
"Berlin, Ankogelweg"	9070405
"Berlin, Anna-Ebermann-Straße"	9150500
"Berlin, Anne-Frank-Straße"	9195506
"Berlin, Annenweg"	9038151
"Berlin, Annweilerweg"	9184505
"Berlin, Antonplatz"	9140011
"Berlin, Anton-Saefkow-Platz"	9160510
"Berlin, Antwerpener Straße"	9009156
"Berlin, Appenzeller Straße"	9066301
"Berlin, Arendsweg"	9160515
"Berlin, Aristide-Briand-Brücke"	9087154
"Berlin, Arnfriedstraße"	9171504
"Berlin, Arnikaweg"	9083103
"Berlin, Arnimallee"	9051353
"Berlin, Arnimstraße"	9152509
"Berlin, Arnold-Zweig-Straße"	9130510
"Berlin, Arnouxstraße"	9134513
"Berlin, Arnswalder Platz"	9110025
"Berlin, Aroser Allee/Gotthardstraße"	9085101
"Berlin, Asbestweg"	9070457
"Berlin, Ascherslebener Weg"	9083205
"Berlin, Ashdodstraße"	9027263
"Berlin, Askanierring"	9029155
"Berlin, Asternplatz"	9066151
"Berlin, Atrium"	9096314
"Berlin, Attilaplatz"	9068341
"Berlin, Atzpodienstraße/U Magdalenenstraße"	9160530
"Berlin, Aubertstraße"	9134012
"Berlin, Auguste-Viktoria-Allee/Humboldtstraße"	9086106
"Berlin, Auguste-Viktoria-Allee/Quäkerstraße"	9086156
"Berlin, Auguste-Viktoria-Klinikum"	9060154
"Berlin, Auguste-Viktoria-Klinikum Süd"	9060105
"Berlin, August-Froehlich-Straße"	9083204
"Berlin, Aurorafalterweg"	9175518
"Berlin, Außenweg"	9038256
"Berlin, Bachstelzenweg"	9051254
"Berlin, Bachstraße"	9003105
"Berlin, Badenallee"	9026156
"Berlin, Badener Ring"	9068153
"Berlin, Badeweg"	9052156
"Berlin, Bahnhof Albrechtshof"	9037168
"Berlin, Bahnhof Staaken"	9029305
"Berlin, Bahnhofstraße"	9150050
"Berlin, Bahnhofstraße/Lindenstraße"	9180008
"Berlin, Bahnhofstraße/Seelenbinderstraße"	9180009
"Berlin, Bäkestraße"	9066408
"Berlin, Balatonstraße"	9161513
"Berlin, Baldersheimer Weg"	9074155
"Berlin, Ballonplatz"	9143511
"Berlin, Baluschekweg"	9037251
"Berlin, Bambachstraße"	9069254
"Berlin, Bamberger Straße"	9055108
"Berlin, Bammelecke"	9186500
"Berlin, Barbarossastraße"	9055151
"Berlin, Bärenlauchstraße"	9180538
"Berlin, Barnetstraße/Steinstraße"	9074204
"Berlin, Barnimplatz"	9170011
"Berlin, Barther Straße"	9151010
"Berlin, Baseler Straße"	9066451
"Berlin, Bäumerplan"	9068106
"Berlin, Baumschulenstraße/Fähre"	9191513
"Berlin, Baumschulenstraße/Königsheideweg"	9194513
"Berlin, Baumschulenstraße/Köpenicker Landstraße"	9191003
"Berlin, Bausdorfstraße/Landrestraße"	9175541
"Berlin, Baußnernweg"	9073254
"Berlin, Bayernring"	9068156
"Berlin, Bayreuther Straße"	9005156
"Berlin, Beatrice-Zweig-Straße"	9131509
"Berlin, Beermannstraße"	9190006
"Berlin, Beerwinkel"	9027364
"Berlin, Beeskowdamm"	9049301
"Berlin, Behaimstraße"	9140506
"Berlin, Behrenstraße/Wilhelmstraße"	9100543
"Berlin, Behringstraße"	9049103
"Berlin, Beifußweg"	9082293
"Berlin, Beilsteiner Straße"	9171515
"Berlin, Bekassinenweg"	9091156
"Berlin, Bellevuepark"	9180532
"Berlin, Bellevuestraße"	9180013
"Berlin, Belßstraße/Marienfelder Allee"	9073181
"Berlin, Belziger Ring"	9170502
"Berlin, Benediktinerstraße"	9092255
"Berlin, Benfeystraße"	9039163
"Berlin, Bennostraße"	9150503
"Berlin, Bentschener Weg"	9171526
"Berlin, Bergaustraße"	9191510
"Berlin, Bergholzstraße"	9069204
"Berlin, Bergmannstraße"	9017151
"Berlin, Bergrutenpfad"	9132525
"Berlin, Bergstraße"	9093103
"Berlin, Berkaer Straße/Breite Straße"	9046301
"Berlin, Berliner Allee/Indira-Gandhi-Straße"	9140006
"Berlin, Berliner Allee/Rennbannstraße"	9140013
"Berlin, Berliner Großmarkt"	9019158
"Berlin, Berliner Rathaus"	9100045
"Berlin, Berlinickeplatz"	9068203
"Berlin, Bernadottestraße"	9046353
"Berlin, Berner Straße"	9066355
"Berlin, Bernhard-Bästlein-Straße"	9160509
"Berlin, Bernshausener Ring"	9096251
"Berlin, Bersarinplatz [Petersburger Straße]"	9120516
"Berlin, Bersarinplatz [Weidenweg]"	9120816
"Berlin, Bessemerstraße"	9058171
"Berlin, Betckestraße"	9032481
"Berlin, Bethaniendamm"	9014107
"Berlin, Betonwerk"	9180521
"Berlin, Betriebshof Britz"	9080181
"Berlin, Betriebshof Indira-Gandhi-Straße"	9150518
"Berlin, Betriebshof Köpenick"	9180514
"Berlin, Betriebshof Lichtenberg"	9160522
"Berlin, Betriebshof Marzahn"	9170010
"Berlin, Beuthener Straße"	9143502
"Berlin, Biberburg"	9032253
"Berlin, Biesdorfer Promenade"	9171525
"Berlin, Billy-Wilder-Promenade"	9066251
"Berlin, Binger Straße"	9045160
"Berlin, Binzstraße"	9130517
"Berlin, Birger-Forell-Platz"	9044205
"Berlin, Birkbuschstraße/Klingsorstraße"	9063202
"Berlin, Birkenhaag"	9074291
"Berlin, Birkenstraße/Rathenower Straße"	9002254
"Berlin, Birkholzer Weg/Straße 4"	9152004
"Berlin, Birkholzer Weg/Straße 8"	9152510
"Berlin, Birkhuhnweg"	9082294
"Berlin, Bismarckplatz"	9048152
"Berlin, Bismarckstraße/Bergstraße"	9063104
"Berlin, Bismarckstraße/Kaiser-Friedrich-Straße"	9022106
"Berlin, Bismarckstraße/Leibnizstraße"	9024208
"Berlin, Bitscher Straße"	9051358
"Berlin, Bitterfelder Straße/Wolfener Straße"	9170534
"Berlin, Björnsonstraße"	9110010
"Berlin, Björnsonstraße [Endstelle]"	9110710
"Berlin, Blanckertzweg"	9064200
"Berlin, Blankenburger Chaussee/Straße 42"	9143504
"Berlin, Blankenburger Chaussee/Straße 45"	9143503
"Berlin, Blankenburger Pflasterweg"	9142530
"Berlin, Blankenburger Straße/Grumbkowstraße"	9131518
"Berlin, Blankenburger Weg"	9134506
"Berlin, Blankenfelde Kirche"	9133011
"Berlin, Blankenfelder Straße"	9134500
"Berlin, Blankenhainer Straße"	9067351
"Berlin, Blasewitzer Ring"	9037208
"Berlin, Bleibtreustraße"	9023351
"Berlin, Blitzenroder Ring"	9096291
"Berlin, Blockdammweg/Ehrlichstraße"	9162504
"Berlin, Blohmstraße/Illigstraße"	9074209
"Berlin, Blücherstraße"	9012152
"Berlin, Blumberger Damm/Eisenacher Straße"	9170014
"Berlin, Blumberger Damm/Elisabethstraße"	9170015
"Berlin, Blumberger Damm/Gärten der Welt"	9170512
"Berlin, Blumberger Damm/Mehrower Allee"	9170510
"Berlin, Boelckestraße/Hoeppnerstraße"	9068103
"Berlin, Bogenstraße"	9064102
"Berlin, Böhlauer Pfad"	9071151
"Berlin, Bohnsdorfer Weg"	9195003
"Berlin, Bohnsdorf Kirche"	9196509
"Berlin, Bolchener Straße"	9049203
"Berlin, Bollestraße"	9089403
"Berlin, Bollmannsruh"	9220293
"Berlin, Boothstraße"	9064103
"Berlin, Bootsbauerstraße"	9120536
"Berlin, Borchertweg"	9029106
"Berlin, Borkzeile"	9029104
"Berlin, Bornhagenweg"	9074267
"Berlin, Borsigwalder Weg"	9096104
"Berlin, Boschpoler Platz"	9171541
"Berlin, Boschpoler Straße"	9171517
"Berlin, Boschweg"	9077150
