"Berlin, Am alten Gaswerk"	9037113
"Berlin, Amandastrasse"	9093207
"Berlin, Am Baltenring"	9175531
"Berlin, Am Berg"	9180529
"Berlin, Am Birkenhuegel"	9053271
"Berlin, Am Birkenknick"	9049303
"Berlin, Am Bogen"	9027363
"Berlin, Am Brandpfuhl"	9080352
"Berlin, Am Dachsbau"	9091102
"Berlin, Am Dianaplatz"	9094191
"Berlin, Amendestrasse"	9085250
"Berlin, Am Fischtal"	9050258
"Berlin, Amfortasweg"	9063253
"Berlin, Am Friedrichshain"	9110019
"Berlin, Am Friedrichshain/Hufelandstrasse"	9110522
"Berlin, Am Gehrensee"	9153500
"Berlin, Am Gemeindepark"	9067401
"Berlin, Am Graben"	9038252
"Berlin, Am Grossen Rohrpfuhl"	9082261
"Berlin, Am Grossen Wannsee"	9053254
"Berlin, Am Hegewinkel"	9051257
"Berlin, Am Heidefriedhof"	9070353
"Berlin, Am Hellespont"	9070156
"Berlin, Am Huegel"	9096152
"Berlin, Am Iderfenngraben"	9131529
"Berlin, Am Kesselpfuhl"	9096105
"Berlin, Am Kiesberg"	9195012
"Berlin, Am Kiesteich"	9027301
"Berlin, Am Kleinen Wannsee"	9053202
"Berlin, Am Kornfeld"	9176522
"Berlin, Am Kupfergraben"	9100038
"Berlin, Am Kurzen Weg"	9037171
"Berlin, Am Luchgraben"	9144502
"Berlin, Am Nordgraben/Oranienburger Strasse"	9096406
"Berlin, Am Nordhafen"	9001202
"Berlin, Am Oberhafen"	9077152
"Berlin, Am Omnibushof"	9032101
"Berlin, Amorbacher Weg"	9027253
"Berlin, Am Pilz"	9092102
"Berlin, Am Postfenn"	9025154
"Berlin, Am Rehwechsel"	9049356
"Berlin, Am Rohrgarten"	9052351
"Berlin, Am Rollberg"	9132524
"Berlin, Am Rosenhag"	9176006
"Berlin, Am Roetepfuhl"	9074153
"Berlin, Am Sandwerder"	9052152
"Berlin, Am Seegraben"	9196512
"Berlin, Am Steinberg"	9141506
"Berlin, Am Stener Berg"	9135507
"Berlin, Am Studio/Koepenicker Strasse"	9194001
"Berlin, Am Tegeler Fliess"	9089454
"Berlin, Am Tierpark/Alfred-Kowalke-Strasse"	9161517
"Berlin, Amtsgerichtsplatz"	9024104
"Berlin, Am Vierrutenberg"	9095102
"Berlin, Am Volkspark"	9044102
"Berlin, Am Waeldchen"	9133504
"Berlin, Am Waldfriedhof"	9051203
"Berlin, Am Wasserturm"	9141504
"Berlin, Am Zeppelinpark"	9037161
"Berlin, An den Achterhoefen"	9081257
"Berlin, An den Siedlergaerten"	9176517
"Berlin, An der Buche"	9092254
"Berlin, An der Muehle"	9089391
"Berlin, An der Rehwiese"	9052203
"Berlin, An der Schneise"	9091158
"Berlin, An der Urania"	9056105
"Berlin, An der Wuhle"	9175506
"Berlin, Andreasstrasse/Lange Strasse"	9120023
"Berlin, Anemonenstrasse"	9180528
"Berlin, Angerweg"	9132501
"Berlin, Ankogelweg"	9070405
"Berlin, Anna-Ebermann-Strasse"	9150500
"Berlin, Anne-Frank-Strasse"	9195506
"Berlin, Annenweg"	9038151
"Berlin, Annweilerweg"	9184505
"Berlin, Antonplatz"	9140011
"Berlin, Anton-Saefkow-Platz"	9160510
"Berlin, Antwerpener Strasse"	9009156
"Berlin, Appenzeller Strasse"	9066301
"Berlin, Arendsweg"	9160515
"Berlin, Aristide-Briand-Bruecke"	9087154
"Berlin, Arnfriedstrasse"	9171504
"Berlin, Arnikaweg"	9083103
"Berlin, Arnimallee"	9051353
"Berlin, Arnimstrasse"	9152509
"Berlin, Arnold-Zweig-Strasse"	9130510
"Berlin, Arnouxstrasse"	9134513
"Berlin, Arnswalder Platz"	9110025
"Berlin, Aroser Allee/Gotthardstrasse"	9085101
"Berlin, Asbestweg"	9070457
"Berlin, Ascherslebener Weg"	9083205
"Berlin, Ashdodstrasse"	9027263
"Berlin, Askanierring"	9029155
"Berlin, Asternplatz"	9066151
"Berlin, Atrium"	9096314
"Berlin, Attilaplatz"	9068341
"Berlin, Atzpodienstrasse/U Magdalenenstrasse"	9160530
